days_ahead,n_forecasts,rmse,sample
97,14,0.16827379899607783,Full sample
98,14,0.16117315444665828,Full sample
99,14,0.13982131454109736,Full sample
102,13,0.09140989678787201,Full sample
103,15,0.14778926438231815,Full sample
104,15,0.16033818426480367,Full sample
105,16,0.16953981833186169,Full sample
106,16,0.17135945407242645,Full sample
109,13,0.11067103018892077,Full sample
110,15,0.16500000000000165,Full sample
111,15,0.17011760637864823,Full sample
112,16,0.16425019025864113,Full sample
113,15,0.15959323293924516,Full sample
116,12,0.1136606792166916,Full sample
117,16,0.1846406983847302,Full sample
118,16,0.1914908614007495,Full sample
119,15,0.19435791725576881,Full sample
120,16,0.18545552027373333,Full sample
123,13,0.15051194688079292,Full sample
124,16,0.19795438237129534,Full sample
125,15,0.226851640211541,Full sample
126,16,0.21363666586052021,Full sample
127,14,0.24310491562286515,Full sample
130,13,0.15940996976832586,Full sample
131,14,0.20272254085678004,Full sample
132,16,0.18808658245606058,Full sample
133,14,0.19095156453928497,Full sample
134,12,0.18115946014492493,Full sample
137,13,0.11421134255944551,Full sample
138,15,0.17716282529545285,Full sample
139,14,0.18746428231227974,Full sample
140,15,0.18304826321674575,Full sample
141,14,0.1989526146024293,Full sample
144,13,0.12940693121372515,Full sample
145,13,0.22064154710229195,Full sample
146,14,0.18672936872077128,Full sample
147,15,0.18259244234086247,Full sample
148,15,0.18486481547336378,Full sample
151,14,0.14311583719890342,Full sample
152,16,0.20078751206188272,Full sample
153,15,0.21156953151781338,Full sample
154,16,0.20988091861815505,Full sample
155,16,0.22219431248346655,Full sample
158,14,0.17015224275420635,Full sample
159,15,0.20586808073780397,Full sample
160,14,0.21218253597181083,Full sample
161,15,0.25085520391918165,Full sample
162,15,0.2122223676555645,Full sample
165,14,0.1539538428045431,Full sample
166,16,0.24324627438051288,Full sample
167,16,0.246503676443172,Full sample
168,16,0.25424520644448845,Full sample
169,15,0.234936161541812,Full sample
172,15,0.217136669711345,Full sample
173,14,0.2449161664150194,Full sample
174,15,0.27424745516898924,Full sample
175,14,0.24167939211159248,Full sample
176,13,0.27022070751375077,Full sample
179,12,0.20106487344469973,Full sample
180,15,0.24103595858986143,Full sample
181,15,0.24559451676832356,Full sample
182,16,0.22547172771768964,Full sample
183,13,0.2441114184453162,Full sample
186,14,0.23933688152297591,Full sample
187,15,0.28015769368934856,Full sample
188,14,0.2942362995960907,Full sample
189,15,0.2790997432221461,Full sample
190,14,0.25410206048526773,Full sample
193,15,0.223207676092617,Full sample
194,13,0.21481655859396648,Full sample
195,14,0.26403124815066964,Full sample
196,16,0.2798269554564052,Full sample
197,15,0.23178653972998733,Full sample
200,15,0.21379507322044253,Full sample
201,16,0.25560284133788647,Full sample
202,16,0.25506126714967947,Full sample
203,14,0.276705748817352,Full sample
204,15,0.266886367829706,Full sample
207,15,0.27350502737609605,Full sample
208,14,0.26729464747994647,Full sample
209,14,0.312798428932848,Full sample
210,14,0.25840513595072795,Full sample
211,14,0.27983094386228535,Full sample
214,15,0.24635340468522146,Full sample
215,15,0.23605790250134367,Full sample
216,13,0.24029228996242147,Full sample
217,15,0.24604538876665308,Full sample
218,13,0.24381187577562788,Full sample
221,14,0.2515487740266032,Full sample
222,14,0.2790833208918084,Full sample
223,14,0.2722656266012497,Full sample
224,13,0.2751153604189732,Full sample
225,14,0.27866710811084033,Full sample
228,14,0.28131070773384076,Full sample
229,13,0.24061219995925312,Full sample
230,14,0.2907871091660425,Full sample
231,16,0.2824253219879535,Full sample
232,13,0.225316017389594,Full sample
235,15,0.24004860618910898,Full sample
236,16,0.2929057015491522,Full sample
237,16,0.27287245188915776,Full sample
238,16,0.2699044969984757,Full sample
239,15,0.29042784531331434,Full sample
242,16,0.26430332952878316,Full sample
243,15,0.24738296896378004,Full sample
244,15,0.3013276179398974,Full sample
245,14,0.2633845640340926,Full sample
246,15,0.27549349659595795,Full sample
249,15,0.2497298540423233,Full sample
250,15,0.2280752799698673,Full sample
251,14,0.20663978319771867,Full sample
252,15,0.23325951213187535,Full sample
253,14,0.22216869394995342,Full sample
256,14,0.21643210746757816,Full sample
257,15,0.2442266706702339,Full sample
258,15,0.2417540072056729,Full sample
259,13,0.26941889032051686,Full sample
260,16,0.24466175630858197,Full sample
263,15,0.23965948065258447,Full sample
264,16,0.27210407016433946,Full sample
265,16,0.26945546941934545,Full sample
266,16,0.2823672254352481,Full sample
267,14,0.2831708217414252,Full sample
270,16,0.3045257583522299,Full sample
271,15,0.317700068198503,Full sample
272,15,0.3239753077010666,Full sample
273,15,0.3022498966087499,Full sample
274,13,0.29844790809478683,Full sample
277,15,0.33844004885159185,Full sample
278,13,0.33842679017431887,Full sample
279,15,0.3113385081654157,Full sample
280,16,0.3078529478501064,Full sample
281,15,0.3195569850068477,Full sample
284,16,0.31224239382249225,Full sample
285,15,0.32449447863818376,Full sample
286,15,0.2835548153943666,Full sample
287,16,0.2844347464709597,Full sample
288,15,0.2974754891863648,Full sample
291,15,0.28542366171476835,Full sample
292,15,0.2933456436810788,Full sample
293,14,0.3305055651141589,Full sample
294,11,0.38120323856298666,Full sample
295,14,0.3642457961322267,Full sample
298,15,0.35653891793182946,Full sample
299,15,0.3615268546963932,Full sample
300,14,0.37326503414368506,Full sample
301,15,0.38431324029581343,Full sample
302,15,0.37719137494557453,Full sample
305,15,0.3941531005417394,Full sample
