model,r.squared,adj.r.squared,sigma,df,logLik,AIC,BIC
baseline,0.22894955381051205,0.22866742777824367,0.22068406336194815,2,505.11133303276296,-1002.2226660655259,-975.7952618121388
year_fixed_effects,0.2681573209248141,0.2674875033528983,0.21505901643083838,5,647.820046367007,-1281.640092734014,-1235.3921352905866
meeting_fixed_effects,0.2921573131057346,0.28994976849425,0.21173598462856877,17,738.9983836635455,-1439.996767327091,-1314.4665971235022
