days_ahead,rmse_quarterly,rmse_linear,rmse_loess,rmse_daily,adjustment_ratio,rmse_daily_adjusted,rmse_combined
56,NA,0.39882740306008074,NA,0.11039323650779932,0.4894710291348448,0.18042863407531642,0.18042863407531642
57,NA,0.39882740306008074,NA,0.11390785749894597,0.4894710291348448,0.18617299201594284,0.18617299201594284
58,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
59,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
60,NA,0.39882740306008074,NA,0.0982435021479049,0.4894710291348448,0.16057089600837593,0.16057089600837593
61,NA,0.39882740306008074,NA,0.1122497216032177,0.4894710291348448,0.18346290574397844,0.18346290574397844
62,NA,0.39882740306008074,NA,0.10970842036963148,0.4894710291348448,0.17930935861686362,0.17930935861686362
63,NA,0.39882740306008074,NA,0.10896530411098801,0.4894710291348448,0.1780947964231306,0.1780947964231306
64,NA,0.39882740306008074,NA,0.10955877418080397,0.4894710291348448,0.17906477427185424,0.17906477427185424
65,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
66,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
67,NA,0.39882740306008074,NA,0.095286648878767935,0.4894710291348448,0.15573816337557717,0.15573816337557717
68,NA,0.39882740306008074,NA,0.12064410470470763,0.4894710291348448,0.19718283211645815,0.19718283211645815
69,NA,0.39882740306008074,NA,0.11847643928928263,0.4894710291348448,0.19363996189714175,0.19363996189714175
70,NA,0.39882740306008074,NA,0.12523103648856534,0.4894710291348448,0.2046797935476019,0.2046797935476019
71,NA,0.39882740306008074,NA,0.13048587088263816,0.4894710291348448,0.2132683866716704,0.2132683866716704
72,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
73,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
74,NA,0.39882740306008074,NA,0.11289744608862243,0.4894710291348448,0.18452155795724567,0.18452155795724567
75,NA,0.39882740306008074,NA,0.12063719713808517,0.4894710291348448,0.19717154226891043,0.19717154226891043
76,NA,0.39882740306008074,NA,0.13378465283183094,0.4894710291348448,0.2186599735118942,0.2186599735118942
77,NA,0.39882740306008074,NA,0.13453624047073695,0.4894710291348448,0.2198883814775047,0.2198883814775047
78,NA,0.39882740306008074,NA,0.1350712062922034,0.4894710291348448,0.2207627389607854,0.2207627389607854
79,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
80,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
81,NA,0.39882740306008074,NA,0.10766108438479388,0.4894710291348448,0.17596315692078968,0.17596315692078968
82,NA,0.39882740306008074,NA,0.1465207607587869,0.4894710291348448,0.23947609077949616,0.23947609077949616
83,NA,0.39882740306008074,NA,0.15475282711472718,0.4894710291348448,0.25293072382773313,0.25293072382773313
84,NA,0.39882740306008074,NA,0.1643826835973538,0.4894710291348448,0.2686699294753445,0.2686699294753445
85,NA,0.39882740306008074,NA,0.17743207956044257,0.4894710291348448,0.28999809018165473,0.28999809018165473
86,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
87,NA,0.39882740306008074,NA,NA,0.4894710291348448,NA,0.39882740306008074
88,NA,0.39882740306008074,NA,0.15081190526357963,0.4894710291348448,0.24648961231498312,0.24648961231498312
89,NA,0.39882740306008074,NA,0.17187386363260773,0.4894710291348448,0.28091364497939764,0.28091364497939764
90,NA,0.39882740306008074,NA,0.20609463845525272,0.4894710291348448,0.33684467711117677,0.33684467711117677
91,0.39882740306008074,0.39882740306008074,0.4170081280663127,0.17480465287476468,0.4894710291348448,0.28570377811121905,0.28570377811121905
92,NA,0.4009909340915523,0.4188313842439671,0.20316722933810732,0.4894710291348448,0.33206006851471753,0.33206006851471753
93,NA,0.4031544651230238,0.42065259722748394,NA,0.4894710291348448,NA,0.4031544651230238
94,NA,0.4053179961544953,0.42247176404476744,NA,0.4894710291348448,NA,0.4053179961544953
95,NA,0.40748152718596686,0.4242888817237221,0.14165233713350867,0.4894710291348448,0.23151905416569157,0.23151905416569157
96,NA,0.40964505821743835,0.42610394729225215,0.16899387140198124,0.4894710291348448,0.2762065353705336,0.2762065353705336
97,NA,0.4118085892489099,0.42791695777826205,0.16827379899607783,0.4894710291348448,0.2750296364522444,0.2750296364522444
98,NA,0.41397212028038144,0.42972791020965595,0.16117315444665828,0.4894710291348448,0.26342421896803464,0.26342421896803464
99,NA,0.41613565131185293,0.43153680161433833,0.13982131454109736,0.4894710291348448,0.22852639885671824,0.22852639885671824
100,NA,0.41829918234332447,0.4333436290202135,NA,0.4894710291348448,NA,0.41829918234332447
101,NA,0.420462713374796,0.43514838945518564,NA,0.4894710291348448,NA,0.420462713374796
102,NA,0.42262624440626756,0.43695107994715926,0.09140989678787201,0.4894710291348448,0.14940193203988694,0.14940193203988694
103,NA,0.42478977543773905,0.4387516975240387,0.14778926438231815,0.4894710291348448,0.24154935525976318,0.24154935525976318
104,NA,0.4269533064692106,0.4405502392137281,0.16033818426480367,0.4894710291348448,0.2620595291177194,0.2620595291177194
105,NA,0.42911683750068214,0.44234670204413207,0.16953981833186169,0.4894710291348448,0.27709884056922196,0.27709884056922196
