days_to_meeting,finalrmse
1,0.10631901721792843
2,0.10778026862412804
3,0.10924152003032765
4,0.11070277143652726
5,0.1121652064165852
6,0.11362819939269699
7,0.1150917300903374
8,0.1165557782349813
9,0.11802079369188143
10,0.11948580914878155
11,0.12095082460568168
12,0.1224167397930874
13,0.12388307105487059
14,0.12534979811650607
15,0.12681690070346863
16,0.1282846867593347
17,0.12975247281520075
18,0.1312202588710668
19,0.13268866081408573
20,0.13415733690980575
21,0.13562626688370166
22,0.1370954304612483
23,0.13856499366434571
24,0.1400345568674431
25,0.1415041200705405
26,0.14297401531743803
27,0.14444404279536027
28,0.14591418222978206
29,0.1473844133461782
30,0.14885476024477234
31,0.1503251071433665
32,0.15179545404196065
33,0.1532658491410022
34,0.1547362345493921
35,0.15620658999260514
36,0.15767689519611616
37,0.1591470323384725
38,0.16061716948082883
39,0.16208730662318516
40,0.16355720812263608
41,0.16502695800975906
42,0.16649653601002878
43,0.16796592184892015
44,0.16943485578330406
45,0.17090378971768794
46,0.17237272365207185
47,0.17384113810019763
48,0.17530925901431907
49,0.1767770661199109
50,0.17824453914244798
51,0.17971127641712487
52,0.18117801369180178
53,0.18264475096647867
54,0.18411068491154467
55,0.18557618340093
56,0.18704122616010938
57,0.18850579291455755
58,0.18996934007779284
59,0.1914328872410281
60,0.1928964344042634
61,0.19435889439453513
62,0.1958207770074497
63,0.19728206196848197
64,0.19874272900310674
65,0.20020209260316582
66,0.20166145620322493
67,0.203120819803284
68,0.2045788123870268
69,0.2060360856717361
70,0.20749225516174882
71,0.2089469888234058
72,0.21039904555662087
73,0.21185110228983592
74,0.213303159023051
75,0.2147527335560935
76,0.21620116435318446
77,0.21764850983280465
78,0.21909482841343492
79,0.22053928792435473
80,0.22198374743527458
81,0.2234282069461944
82,0.22487100211567324
83,0.2263130624785662
84,0.22775444645335416
85,0.22919521245851796
86,0.23063493725270282
87,0.2320746620468877
88,0.23351438684107256
89,0.2349532651525479
90,0.2363918175868032
91,0.2378301025623193
92,0.23926817849757692
93,0.2407060310805871
94,0.24214388366359732
95,0.2435817362466075
96,0.24501956020563978
97,0.2464574672168176
98,0.247895515698622
99,0.24933376406953375
100,0.25077260694692954
101,0.25221144982432536
102,0.2536502927017212
103,0.25508992481387055
104,0.2565300489075313
105,0.2579707234011843
106,0.2594120067133105
107,0.2608547023906522
108,0.26229739806799396
109,0.2637400937453357
110,0.2651843965161624
111,0.2666296001978663
112,0.2680757632089283
113,0.26952294396782905
114,0.27097235495067695
115,0.2724217659335249
116,0.2738711769163728
117,0.2753230128514373
118,0.2767761586267446
119,0.27823067266077584
120,0.2796866133720115
121,0.2811456021659259
122,0.2826045909598403
123,0.2840635797537547
124,0.28552581135861704
125,0.28698976173308816
126,0.2884554892956489
127,0.2899230524647799
128,0.291394481575321
129,0.29286591068586215
130,0.29433733979640325
131,0.2958128295766239
132,0.2972904470558191
133,0.2987702506524695
134,0.300252298785056
135,0.3017390307177842
136,0.3032257626505123
137,0.3047124945832405
138,0.30619963747973555
139,0.3076804956327826
140,0.30915529809711273
141,0.31062427392745684
142,0.3120823600055993
143,0.3135404460837417
144,0.31499853216188417
145,0.3164464920035951
146,0.31788977048497524
147,0.31932859666075564
148,0.32076319958566735
149,0.32219011952461185
150,0.32361703946355636
151,0.32504395940250086
152,0.32646395987124815
153,0.32788088236278207
154,0.3292949559318335
155,0.33070640963313347
156,0.3321133871147007
157,0.33352036459626794
158,0.33492734207783514
159,0.33633060685543975
160,0.33773239703894803
161,0.3391329416830912
162,0.3405324698426001
163,0.34193072854861073
164,0.3433289872546214
165,0.34472724596063203
166,0.3461249987289145
167,0.34752288028621797
168,0.3489211196872736
169,0.3503199459868121
170,0.35172070959908686
171,0.35312147321136167
172,0.3545222368236364
173,0.3559257012644175
174,0.3573308978773369
175,0.35873805571712547
176,0.36014740383851435
177,0.36156189603887395
178,0.3629763882392335
179,0.3643908804395931
180,0.36581128023469356
181,0.36723501558504945
182,0.36866231554539186
183,0.37009340917045175
184,0.37153285364071686
185,0.372972298110982
186,0.3744117425812471
187,0.3758603014124875
188,0.3773137991821006
189,0.37877246494481753
190,0.38023652775536915
191,0.3817121481773605
192,0.38318776859935183
193,0.38466338902134317
194,0.38615133057054424
195,0.3876458144412353
196,0.3891470696881474
197,0.39065532536601144
198,0.3921783454215497
199,0.39370136547708795
200,0.39522438553262623
201,0.3967629334816087
202,0.39830962713519835
203,0.3998646955481263
204,0.4014250333983022
205,0.40298945604196695
206,0.40455387868563164
207,0.4061183013292964
208,0.4076868862283021
209,0.40925759098590436
210,0.4108304388406589
211,0.4124054530311212
212,0.4139848773548514
213,0.41556430167858155
214,0.41714372600231175
215,0.4187276379211619
216,0.42031383236849806
217,0.42190233258287596
218,0.42349316180285107
219,0.4250887264958731
220,0.4266842911888951
221,0.42827985588191714
222,0.42988023350983795
223,0.4314830563361343
224,0.43308834759936193
225,0.4346961305380764
226,0.43630897428961646
227,0.4379218180411566
228,0.4395346617926967
229,0.44115264381891467
230,0.4427732337133977
231,0.4443964547147013
232,0.44602233006138114
233,0.44765359156066575
234,0.4492848530599504
235,0.450916114559235
236,0.4525528396729763
237,0.45419233532487235
238,0.4558346247534783
239,0.4574797311973502
240,0.4591305491336056
241,0.46078136706986106
242,0.4624321850061165
243,0.46408879189660773
244,0.4657483319951429
245,0.46741082854027766
246,0.46907630477056766
247,0.4707478178330203
248,0.47241933089547294
249,0.47409084395792556
250,0.4757684713143929
251,0.47744919454879375
252,0.47913303689968356
253,0.4808200216056182
254,0.4825133684834943
255,0.48420671536137044
256,0.48590006223924653
257,0.48759984875091644
258,0.48930289381040915
259,0.49100922065628044
260,0.4927188525270859
261,0.49443517190961195
262,0.4961514912921379
263,0.49786781067466396
264,0.4995908950307626
265,0.5013174006045736
266,0.5030473506346527
267,0.5047807683595554
268,0.5065211989359577
269,0.5082616295123599
270,0.5100020600887621
271,0.511749580978516
272,0.5135091447199623
273,0.5152888251981942
274,0.5170880331754366
275,0.5189243320247848
276,0.520760630874133
277,0.5225969297234813
278,0.5244683553190198
279,0.5263563622246957
280,0.5282603612027342
281,0.5301797630153608
282,0.5321280063712479
283,0.534076249727135
284,0.536024493083022
285,0.53799961385625406
286,0.5399871912752008
287,0.5419866361020874
288,0.5439973590991395
289,0.5460286743106068
290,0.5480599895220739
291,0.5500913047335412
292,0.552141248033508
293,0.5541995233147667
294,0.556265541339543
295,0.5583387128700618
296,0.5604242272861504
297,0.5625097417022391
298,0.5645952561183277
299,0.5666911492940707
300,0.5687912497866829
301,0.5708949683583898
302,0.5730017157714168
303,0.5751125567411682
304,0.5772233977109196
305,0.579334238680671
306,0.5814472090812314
307,0.5835602621342384
308,0.5856728086019174
309,0.5877842592464938
310,0.5898915541189492
311,0.5919988489914048
312,0.5941061438638602
313,0.5962073188382793
314,0.5983044518007223
315,0.6003969535134147
316,0.6024842347385818
317,0.6045591108627827
