"meeting_date","scrape_date","move","diff_bps","bucket_rate","probability"
2025-12-09,2024-07-01,"0.10%",-300,0.1,0
2025-12-09,2024-07-01,"0.35%",-300,0.35,0
2025-12-09,2024-07-01,"0.60%",-300,0.6,0
2025-12-09,2024-07-01,"0.85%",-275,0.85,0
2025-12-09,2024-07-01,"1.10%",-250,1.1,0
2025-12-09,2024-07-01,"1.35%",-225,1.35,0
2025-12-09,2024-07-01,"1.60%",-200,1.6,0
2025-12-09,2024-07-01,"1.85%",-175,1.85,0
2025-12-09,2024-07-01,"2.10%",-150,2.1,0
2025-12-09,2024-07-01,"2.35%",-125,2.35,0
2025-12-09,2024-07-01,"2.60%",-100,2.6,0
2025-12-09,2024-07-01,"2.85%",-75,2.85,0.020480203858037
2025-12-09,2024-07-01,"3.10%",-50,3.1,0.0449045168418585
2025-12-09,2024-07-01,"3.35%",-25,3.35,0.082262681085499
2025-12-09,2024-07-01,"3.60%",0,3.6,0.125917364023241
2025-12-09,2024-07-01,"3.85%",25,3.85,0.161045091559006
2025-12-09,2024-07-01,"4.10%",50,4.1,0.172105132317792
2025-12-09,2024-07-01,"4.35%",75,4.35,0.153683082273188
2025-12-09,2024-07-01,"4.60%",100,4.6,0.114667868946326
2025-12-09,2024-07-01,"4.85%",125,4.85,0.0714882226391306
2025-12-09,2024-07-01,"5.10%",150,5.1,0.0372386723707429
2025-12-09,2024-07-01,"5.35%",175,5.35,0.0162071640851799
2025-12-09,2024-07-01,"5.60%",200,5.6,0
2025-12-09,2024-07-01,"5.85%",225,5.85,0
2025-12-09,2024-07-01,"6.10%",250,6.1,0
2025-12-09,2024-07-02,"0.10%",-300,0.1,0
2025-12-09,2024-07-02,"0.35%",-300,0.35,0
2025-12-09,2024-07-02,"0.60%",-300,0.6,0
2025-12-09,2024-07-02,"0.85%",-275,0.85,0
2025-12-09,2024-07-02,"1.10%",-250,1.1,0
2025-12-09,2024-07-02,"1.35%",-225,1.35,0
2025-12-09,2024-07-02,"1.60%",-200,1.6,0
2025-12-09,2024-07-02,"1.85%",-175,1.85,0
2025-12-09,2024-07-02,"2.10%",-150,2.1,0
2025-12-09,2024-07-02,"2.35%",-125,2.35,0
2025-12-09,2024-07-02,"2.60%",-100,2.6,0
2025-12-09,2024-07-02,"2.85%",-75,2.85,0.0188757583973274
2025-12-09,2024-07-02,"3.10%",-50,3.1,0.042127138742965
2025-12-09,2024-07-02,"3.35%",-25,3.35,0.078518117143081
2025-12-09,2024-07-02,"3.60%",0,3.6,0.122219767449107
2025-12-09,2024-07-02,"3.85%",25,3.85,0.158886241758772
2025-12-09,2024-07-02,"4.10%",50,4.1,0.172508359918791
2025-12-09,2024-07-02,"4.35%",75,4.35,0.15642812020455
2025-12-09,2024-07-02,"4.60%",100,4.6,0.118467214712918
2025-12-09,2024-07-02,"4.85%",125,4.85,0.074929720358706
2025-12-09,2024-07-02,"5.10%",150,5.1,0.0395797184594346
2025-12-09,2024-07-02,"5.35%",175,5.35,0.0174598428543484
2025-12-09,2024-07-02,"5.60%",200,5.6,0
2025-12-09,2024-07-02,"5.85%",225,5.85,0
2025-12-09,2024-07-02,"6.10%",250,6.1,0
2025-12-09,2024-07-03,"0.10%",-300,0.1,0
2025-12-09,2024-07-03,"0.35%",-300,0.35,0
2025-12-09,2024-07-03,"0.60%",-300,0.6,0
2025-12-09,2024-07-03,"0.85%",-275,0.85,0
2025-12-09,2024-07-03,"1.10%",-250,1.1,0
2025-12-09,2024-07-03,"1.35%",-225,1.35,0
2025-12-09,2024-07-03,"1.60%",-200,1.6,0
2025-12-09,2024-07-03,"1.85%",-175,1.85,0
2025-12-09,2024-07-03,"2.10%",-150,2.1,0
2025-12-09,2024-07-03,"2.35%",-125,2.35,0
2025-12-09,2024-07-03,"2.60%",-100,2.6,0
2025-12-09,2024-07-03,"2.85%",-75,2.85,0.0136755980778786
2025-12-09,2024-07-03,"3.10%",-50,3.1,0.0345477985397428
2025-12-09,2024-07-03,"3.35%",-25,3.35,0.0711482563129742
2025-12-09,2024-07-03,"3.60%",0,3.6,0.119453902549638
2025-12-09,2024-07-03,"3.85%",25,3.85,0.163510255251766
2025-12-09,2024-07-03,"4.10%",50,4.1,0.182477061907272
2025-12-09,2024-07-03,"4.35%",75,4.35,0.166032739148369
2025-12-09,2024-07-03,"4.60%",100,4.6,0.123168118822016
2025-12-09,2024-07-03,"4.85%",125,4.85,0.0744924798872889
2025-12-09,2024-07-03,"5.10%",150,5.1,0.0367299380325606
2025-12-09,2024-07-03,"5.35%",175,5.35,0.0147638514704933
2025-12-09,2024-07-03,"5.60%",200,5.6,0
2025-12-09,2024-07-03,"5.85%",225,5.85,0
2025-12-09,2024-07-03,"6.10%",250,6.1,0
2025-12-09,2024-07-04,"0.10%",-300,0.1,0
