"meeting_date","scrape_time","scrape_datetime_aest","move","diff_bps","bucket_rate","probability"
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","0.10%",-360,0.001,0
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","0.35%",-360,0.0035,0
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","0.60%",-359,0.006,0
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","0.85%",-359,0.0085,0
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","1.10%",-359,0.011,0
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","1.35%",-359,0.0135,0
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","1.60%",-358,0.016,0
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","1.85%",-358,0.0185,0
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","2.10%",-358,0.021,0
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","2.35%",-358,0.0235,0
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","2.60%",-357,0.026,0.08269462005358
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","2.85%",-357,0.0285,0.353872035643312
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","3.10%",-357,0.031,0.416383610911849
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","3.35%",-357,0.0335,0.135205138182445
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","3.60%",-356,0.036,0.011844595208814
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","3.85%",-356,0.0385,0
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","4.10%",-356,0.041,0
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","4.35%",-356,0.0435,0
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","4.60%",-355,0.046,0
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","4.85%",-355,0.0485,0
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","5.10%",-355,0.051,0
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","5.35%",-355,0.0535,0
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","5.60%",-354,0.056,0
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","5.85%",-354,0.0585,0
2025-11-04,2025-05-01 12:00:00,"2025-05-01 22:00:00","6.10%",-354,0.061,0
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","0.10%",-360,0.001,0
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","0.35%",-360,0.0035,0
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","0.60%",-359,0.006,0
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","0.85%",-359,0.0085,0
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","1.10%",-359,0.011,0
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","1.35%",-359,0.0135,0
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","1.60%",-358,0.016,0
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","1.85%",-358,0.0185,0
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","2.10%",-358,0.021,0
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","2.35%",-358,0.0235,0
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","2.60%",-357,0.026,0.0469675331049029
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","2.85%",-357,0.0285,0.297253537135061
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","3.10%",-357,0.031,0.461385043383533
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","3.35%",-357,0.0335,0.177809093490272
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","3.60%",-356,0.036,0.0165847928862311
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","3.85%",-356,0.0385,0
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","4.10%",-356,0.041,0
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","4.35%",-356,0.0435,0
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","4.60%",-355,0.046,0
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","4.85%",-355,0.0485,0
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","5.10%",-355,0.051,0
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","5.35%",-355,0.0535,0
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","5.60%",-354,0.056,0
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","5.85%",-354,0.0585,0
2025-11-04,2025-05-02 12:00:00,"2025-05-02 22:00:00","6.10%",-354,0.061,0
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","0.10%",-360,0.001,0
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","0.35%",-360,0.0035,0
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","0.60%",-359,0.006,0
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","0.85%",-359,0.0085,0
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","1.10%",-359,0.011,0
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","1.35%",-359,0.0135,0
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","1.60%",-358,0.016,0
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","1.85%",-358,0.0185,0.0161093008044683
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","2.10%",-358,0.021,0.0386793138816265
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","2.35%",-358,0.0235,0.0762694781162017
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","2.60%",-357,0.026,0.123512702530048
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","2.85%",-357,0.0285,0.164276323623403
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","3.10%",-357,0.031,0.1794522922306
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","3.35%",-357,0.0335,0.161003856978464
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","3.60%",-356,0.036,0.118640687443701
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","3.85%",-356,0.0385,0.0718013121750709
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","4.10%",-356,0.041,0.035687674404314
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","4.35%",-356,0.0435,0.014567057812102
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","4.60%",-355,0.046,0
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","4.85%",-355,0.0485,0
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","5.10%",-355,0.051,0
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","5.35%",-355,0.0535,0
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","5.60%",-354,0.056,0
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","5.85%",-354,0.0585,0
2025-11-04,2025-05-05 12:00:00,"2025-05-05 22:00:00","6.10%",-354,0.061,0
2025-11-04,2025-05-06 12:00:00,"2025-05-06 22:00:00","0.10%",-360,0.001,0
2025-11-04,2025-05-06 12:00:00,"2025-05-06 22:00:00","0.35%",-360,0.0035,0
2025-11-04,2025-05-06 12:00:00,"2025-05-06 22:00:00","0.60%",-359,0.006,0
2025-11-04,2025-05-06 12:00:00,"2025-05-06 22:00:00","0.85%",-359,0.0085,0
