"meeting_date","scrape_date","move","diff_bps","bucket_rate","probability"
2027-02-03,2025-08-31,"0.10%",-300,0.1,0
2027-02-03,2025-08-31,"0.35%",-300,0.35,0
2027-02-03,2025-08-31,"0.60%",-300,0.6,0
2027-02-03,2025-08-31,"0.85%",-275,0.85,0
2027-02-03,2025-08-31,"1.10%",-250,1.1,0
2027-02-03,2025-08-31,"1.35%",-225,1.35,0
2027-02-03,2025-08-31,"1.60%",-200,1.6,0
2027-02-03,2025-08-31,"1.85%",-175,1.85,0.0188903480119976
2027-02-03,2025-08-31,"2.10%",-150,2.1,0.0420641561867034
2027-02-03,2025-08-31,"2.35%",-125,2.35,0.0782899273014296
2027-02-03,2025-08-31,"2.60%",-100,2.6,0.121796320336417
2027-02-03,2025-08-31,"2.85%",-75,2.85,0.158382234742485
2027-02-03,2025-08-31,"3.10%",-50,3.1,0.172158496381361
2027-02-03,2025-08-31,"3.35%",-25,3.35,0.156423486687778
2027-02-03,2025-08-31,"3.60%",0,3.6,0.11880231108914
2027-02-03,2025-08-31,"3.85%",25,3.85,0.0754208289562826
2027-02-03,2025-08-31,"4.10%",50,4.1,0.0400213275292147
2027-02-03,2025-08-31,"4.35%",75,4.35,0.0177505627771917
2027-02-03,2025-08-31,"4.60%",100,4.6,0
2027-02-03,2025-08-31,"4.85%",125,4.85,0
2027-02-03,2025-08-31,"5.10%",150,5.1,0
2027-02-03,2025-08-31,"5.35%",175,5.35,0
2027-02-03,2025-08-31,"5.60%",200,5.6,0
2027-02-03,2025-08-31,"5.85%",225,5.85,0
2027-02-03,2025-08-31,"6.10%",250,6.1,0
2027-02-03,2025-09-01,"0.10%",-300,0.1,0
2027-02-03,2025-09-01,"0.35%",-300,0.35,0
2027-02-03,2025-09-01,"0.60%",-300,0.6,0
2027-02-03,2025-09-01,"0.85%",-275,0.85,0
2027-02-03,2025-09-01,"1.10%",-250,1.1,0
2027-02-03,2025-09-01,"1.35%",-225,1.35,0
2027-02-03,2025-09-01,"1.60%",-200,1.6,0
2027-02-03,2025-09-01,"1.85%",-175,1.85,0.0177137767174705
2027-02-03,2025-09-01,"2.10%",-150,2.1,0.0395200588503114
2027-02-03,2025-09-01,"2.35%",-125,2.35,0.0740176480678505
2027-02-03,2025-09-01,"2.60%",-100,2.6,0.116379508575833
2027-02-03,2025-09-01,"2.85%",-75,2.85,0.153620888140245
2027-02-03,2025-09-01,"3.10%",-50,3.1,0.17024019269215
2027-02-03,2025-09-01,"3.35%",-25,3.35,0.158385011424049
2027-02-03,2025-09-01,"3.60%",0,3.6,0.123709984074004
2027-02-03,2025-09-01,"3.85%",25,3.85,0.0811202268930844
2027-02-03,2025-09-01,"4.10%",50,4.1,0.0446559064978133
2027-02-03,2025-09-01,"4.35%",75,4.35,0.0206367980671886
2027-02-03,2025-09-01,"4.60%",100,4.6,0
2027-02-03,2025-09-01,"4.85%",125,4.85,0
2027-02-03,2025-09-01,"5.10%",150,5.1,0
2027-02-03,2025-09-01,"5.35%",175,5.35,0
2027-02-03,2025-09-01,"5.60%",200,5.6,0
2027-02-03,2025-09-01,"5.85%",225,5.85,0
