date,cash_rate,scrape_date
2023-07-01,4.064999999999998,2023-07-24
2023-08-01,4.204999999999998,2023-07-24
2023-09-01,4.265000000000001,2023-07-24
2023-10-01,4.304999999999993,2023-07-24
2023-11-01,4.375,2023-07-24
2023-12-01,4.429999999999993,2023-07-24
2024-01-01,4.429999999999993,2023-07-24
2024-02-01,4.444999999999993,2023-07-24
2024-03-01,4.444999999999993,2023-07-24
2024-04-01,4.444999999999993,2023-07-24
2024-05-01,4.429999999999993,2023-07-24
2024-06-01,4.409999999999997,2023-07-24
2024-07-01,4.384999999999991,2023-07-24
2024-08-01,4.340000000000003,2023-07-24
2024-09-01,4.295000000000002,2023-07-24
2024-10-01,4.25,2023-07-24
2024-11-01,4.179999999999993,2023-07-24
2024-12-01,4.1299999999999955,2023-07-24
