date,cash_rate,scrape_date
2022-06-01,0.695,2022-06-26
2022-07-01,1.18,2022-06-26
2022-08-01,1.675,2022-06-26
2022-09-01,2.005,2022-06-26
2022-10-01,2.395,2022-06-26
2022-11-01,2.815,2022-06-26
2022-12-01,3.11,2022-06-26
2023-01-01,3.19,2022-06-26
2023-02-01,3.48,2022-06-26
2023-03-01,3.665,2022-06-26
2023-04-01,3.705,2022-06-26
2023-05-01,3.735,2022-06-26
2023-06-01,3.77,2022-06-26
2023-07-01,3.81,2022-06-26
2023-08-01,3.815,2022-06-26
2023-09-01,3.815,2022-06-26
2023-10-01,3.795,2022-06-26
2023-11-01,3.77,2022-06-26
