date,cash_rate,scrape_date
2024-11-01,4.334999999999994,2024-11-05
2024-12-01,4.314999999999998,2024-11-05
2025-01-01,4.310000000000002,2024-11-05
2025-02-01,4.284999999999997,2024-11-05
2025-03-01,4.234999999999999,2024-11-05
2025-04-01,4.164999999999992,2024-11-05
2025-05-01,4.134999999999991,2024-11-05
2025-06-01,4.075000000000003,2024-11-05
2025-07-01,4.039999999999992,2024-11-05
2025-08-01,3.9849999999999994,2024-11-05
2025-09-01,3.9549999999999983,2024-11-05
2025-10-01,3.924999999999997,2024-11-05
2025-11-01,3.8799999999999955,2024-11-05
2025-12-01,3.8400000000000034,2024-11-05
2026-01-01,3.8299999999999983,2024-11-05
2026-02-01,3.789999999999992,2024-11-05
2026-03-01,3.769999999999996,2024-11-05
