date,cash_rate,scrape_date
2024-06-01,4.314999999999998,2024-05-31
2024-07-01,4.314999999999998,2024-05-31
2024-08-01,4.344999999999999,2024-05-31
2024-09-01,4.359999999999999,2024-05-31
2024-10-01,4.359999999999999,2024-05-31
2024-11-01,4.359999999999999,2024-05-31
2024-12-01,4.340000000000003,2024-05-31
2025-01-01,4.329999999999998,2024-05-31
2025-02-01,4.310000000000002,2024-05-31
2025-03-01,4.2749999999999915,2024-05-31
2025-04-01,4.234999999999999,2024-05-31
2025-05-01,4.215000000000003,2024-05-31
2025-06-01,4.179999999999993,2024-05-31
2025-07-01,4.1499999999999915,2024-05-31
2025-08-01,4.109999999999999,2024-05-31
2025-09-01,4.090000000000003,2024-05-31
2025-10-01,4.069999999999993,2024-05-31
