date,cash_rate,scrape_date
2023-10-01,4.064999999999998,2023-10-18
2023-11-01,4.144999999999996,2023-10-18
2023-12-01,4.204999999999998,2023-10-18
2024-01-01,4.209999999999994,2023-10-18
2024-02-01,4.2749999999999915,2023-10-18
2024-03-01,4.310000000000002,2023-10-18
2024-04-01,4.334999999999994,2023-10-18
2024-05-01,4.349999999999994,2023-10-18
2024-06-01,4.359999999999999,2023-10-18
2024-07-01,4.364999999999995,2023-10-18
2024-08-01,4.355000000000004,2023-10-18
2024-09-01,4.364999999999995,2023-10-18
2024-10-01,4.364999999999995,2023-10-18
2024-11-01,4.344999999999999,2023-10-18
2024-12-01,4.310000000000002,2023-10-18
2025-01-01,4.299999999999997,2023-10-18
2025-02-01,4.269999999999996,2023-10-18
2025-03-01,4.25,2023-10-18
