date,cash_rate,scrape_date
2023-09-01,4.064999999999998,2023-09-29
2023-10-01,4.084999999999994,2023-09-29
2023-11-01,4.159999999999997,2023-09-29
2023-12-01,4.209999999999994,2023-09-29
2024-01-01,4.219999999999999,2023-09-29
2024-02-01,4.284999999999997,2023-09-29
2024-03-01,4.319999999999993,2023-09-29
2024-04-01,4.344999999999999,2023-09-29
2024-05-01,4.329999999999998,2023-09-29
2024-06-01,4.334999999999994,2023-09-29
2024-07-01,4.325000000000003,2023-09-29
2024-08-01,4.304999999999993,2023-09-29
2024-09-01,4.299999999999997,2023-09-29
2024-10-01,4.2749999999999915,2023-09-29
2024-11-01,4.2450000000000045,2023-09-29
2024-12-01,4.209999999999994,2023-09-29
2025-01-01,4.194999999999993,2023-09-29
2025-02-01,4.155000000000001,2023-09-29
