date,cash_rate,scrape_date
2024-05-01,4.319999999999993,2024-05-28
2024-06-01,4.319999999999993,2024-05-28
2024-07-01,4.314999999999998,2024-05-28
2024-08-01,4.340000000000003,2024-05-28
2024-09-01,4.334999999999994,2024-05-28
2024-10-01,4.340000000000003,2024-05-28
2024-11-01,4.304999999999993,2024-05-28
2024-12-01,4.280000000000001,2024-05-28
2025-01-01,4.269999999999996,2024-05-28
2025-02-01,4.2450000000000045,2024-05-28
2025-03-01,4.209999999999994,2024-05-28
2025-04-01,4.155000000000001,2024-05-28
2025-05-01,4.1299999999999955,2024-05-28
2025-06-01,4.090000000000003,2024-05-28
2025-07-01,4.060000000000002,2024-05-28
2025-08-01,4.009999999999991,2024-05-28
2025-09-01,3.9849999999999994,2024-05-28
2025-10-01,3.9599999999999937,2024-05-28
