dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate,cash_rate_PreviousSettlement
2026-01-28,2025-12-30,2025-12-30,96.405,96.4,0,0,-0.005,-0.005,96.4,97.105,96.4,96.4,96.405,29,29,919010878,IBF2026,2026-01-01,2025-12-30,2025-12-30T22:02:11Z,3.5999999999999943,3.594999999999999
2026-02-25,2025-12-30,2025-12-30,96.32000000000001,96.315,-0.0049999999999954525,-0.005190760446400678,-0.005,-0.005,96.32000000000001,97.065,96.32000000000001,96.32000000000001,96.32000000000001,862,862,928464846,IBG2026,2026-02-01,2025-12-30,2025-12-30T22:02:11Z,3.6799999999999926,3.6799999999999926
2026-03-29,2025-12-30,2025-12-30,96.305,96.285,-0.009999999999990905,-0.01038205980065501,0.005,0.005,96.31,97.105,96.295,96.31,96.305,12,12,935346173,IBH2026,2026-03-01,2025-12-30,2025-12-30T22:02:11Z,3.6899999999999977,3.694999999999993
2026-04-28,2025-12-18,2025-12-30,96.295,96.27,0,0,-0.01,-0.01,96.295,96.925,96.255,96.295,96.29,0,0,941648808,IBJ2026,2026-04-01,2025-12-30,2025-12-30T22:02:11Z,3.7099999999999937,3.7099999999999937
2026-05-27,2025-12-30,2025-12-30,96.215,96.19,-0.015000000000000568,-0.015590084706127494,-0.015,-0.016,96.2,97.015,96.2,96.2,96.215,27,27,949242588,IBK2026,2026-05-01,2025-12-30,2025-12-30T22:02:11Z,3.799999999999997,3.7849999999999966
2026-06-28,2025-12-19,2025-12-30,96.19,96.16,-0.009999999999990905,-0.010396091069748316,-0.02,-0.021,96.18,96.97500000000001,96.18,96.18,96.185,0,0,955528239,IBM2026,2026-06-01,2025-12-30,2025-12-30T22:02:11Z,3.8149999999999977,3.8149999999999977
2026-07-29,2025-12-09,2025-12-30,96.175,96.145,-0.10500000000000398,-0.10917030567686002,-0.04,-0.042,96.075,96.075,96.075,96.075,96.17,0,0,962344067,IBN2026,2026-07-01,2025-12-30,2025-12-30T22:02:11Z,3.8299999999999983,3.8299999999999983
2026-08-29,2025-12-09,2025-12-30,96.12,96.09,-0.05500000000000682,-0.057220141489811506,-0.105,-0.109,96.065,96.15,96.065,96.065,96.11500000000001,0,0,969160575,IBQ2026,2026-08-01,2025-12-30,2025-12-30T22:02:11Z,3.884999999999991,3.884999999999991
2026-09-28,2025-12-16,2025-12-30,96.09,96.06,0.015000000000000568,0.015610365282548203,-0.025,-0.026000000000000002,96.105,96.86500000000001,96.105,96.105,96.08500000000001,0,0,976225343,IBU2026,2026-09-01,2025-12-30,2025-12-30T22:02:11Z,3.914999999999992,3.914999999999992
2026-10-28,2025-12-16,2025-12-30,96.07000000000001,96.04,0.010000000000005116,0.010409076714900715,-0.035,-0.036000000000000004,96.08,96.86500000000001,96.08,96.08,96.07000000000001,0,0,983956682,IBV2026,2026-10-01,2025-12-30,2025-12-30T22:02:11Z,3.9299999999999926,3.9299999999999926
2026-11-28,2025-12-09,2025-12-30,96.04,96.01,-0.009999999999990905,-0.010412870307690848,-0.055,-0.057,96.025,96.86500000000001,96.025,96.025,96.035,0,0,990482019,IBX2026,2026-11-01,2025-12-30,2025-12-30T22:02:11Z,3.9650000000000034,3.9650000000000034
2026-12-29,2025-11-04,2025-12-30,96.025,95.995,0.5400000000000063,0.5623828369089838,0.005,0.005,96.56,96.86500000000001,96.56,96.56,96.02,0,0,996839036,IBZ2026,2026-12-01,2025-12-30,2025-12-30T22:02:11Z,3.980000000000004,3.980000000000004
2027-01-27,NA,2025-12-30,96.02,95.99000000000001,NA,0,NA,NA,NA,NA,NA,NA,96.015,0,0,1004041830,IBF2027,2027-01-01,2025-12-30,2025-12-30T22:02:11Z,NA,3.9849999999999994
2027-02-24,NA,2025-12-30,96.01,95.98,NA,0,NA,NA,NA,NA,NA,NA,96.005,0,0,1010033436,IBG2027,2027-02-01,2025-12-30,2025-12-30T22:02:11Z,NA,3.9950000000000045
2027-03-29,NA,2025-12-30,96.005,95.97500000000001,NA,0,NA,NA,NA,NA,NA,NA,96.005,0,0,1016946091,IBH2027,2027-03-01,2025-12-30,2025-12-30T22:02:11Z,NA,3.9950000000000045
2027-04-28,NA,2025-12-30,96,95.97,NA,0,NA,NA,NA,NA,NA,NA,96,0,0,1026315950,IBJ2027,2027-04-01,2025-12-30,2025-12-30T22:02:11Z,NA,4
2027-05-29,NA,2025-12-30,95.99000000000001,95.96000000000001,NA,0,NA,NA,NA,NA,NA,NA,95.99000000000001,0,0,1033478754,IBK2027,2027-05-01,2025-12-30,2025-12-30T22:02:11Z,NA,4.009999999999991
