date,cash_rate,scrape_date
2022-09-01,2.205,2022-09-16
2022-10-01,2.645,2022-09-16
2022-11-01,3.045,2022-09-16
2022-12-01,3.28,2022-09-16
2023-01-01,3.34,2022-09-16
2023-02-01,3.48,2022-09-16
2023-03-01,3.655,2022-09-16
2023-04-01,3.795,2022-09-16
2023-05-01,3.845,2022-09-16
2023-06-01,3.84,2022-09-16
2023-07-01,3.85,2022-09-16
2023-08-01,3.84,2022-09-16
2023-09-01,3.825,2022-09-16
2023-10-01,3.805,2022-09-16
2023-11-01,3.785,2022-09-16
2023-12-01,3.755,2022-09-16
2024-01-01,3.75,2022-09-16
2024-02-01,3.735,2022-09-16
