date,cash_rate,scrape_date
2022-06-01,0.69,2022-06-28
2022-07-01,1.195,2022-06-28
2022-08-01,1.685,2022-06-28
2022-09-01,2.02,2022-06-28
2022-10-01,2.445,2022-06-28
2022-11-01,2.865,2022-06-28
2022-12-01,3.2,2022-06-28
2023-01-01,3.28,2022-06-28
2023-02-01,3.555,2022-06-28
2023-03-01,3.735,2022-06-28
2023-04-01,3.775,2022-06-28
2023-05-01,3.805,2022-06-28
2023-06-01,3.84,2022-06-28
2023-07-01,3.88,2022-06-28
2023-08-01,3.885,2022-06-28
2023-09-01,3.885,2022-06-28
2023-10-01,3.865,2022-06-28
2023-11-01,3.84,2022-06-28
