date,cash_rate,scrape_date
2022-07-01,1.225,2022-07-26
2022-08-01,1.82,2022-07-26
2022-09-01,2.23,2022-07-26
2022-10-01,2.65,2022-07-26
2022-11-01,3.105,2022-07-26
2022-12-01,3.315,2022-07-26
2023-01-01,3.375,2022-07-26
2023-02-01,3.55,2022-07-26
2023-03-01,3.615,2022-07-26
2023-04-01,3.62,2022-07-26
2023-05-01,3.615,2022-07-26
2023-06-01,3.595,2022-07-26
2023-07-01,3.575,2022-07-26
2023-08-01,3.55,2022-07-26
2023-09-01,3.52,2022-07-26
2023-10-01,3.47,2022-07-26
2023-11-01,3.43,2022-07-26
2023-12-01,3.38,2022-07-26
