date,cash_rate,scrape_date
2024-08-01,4.329999999999998,2024-08-01
2024-09-01,4.325000000000003,2024-08-01
2024-10-01,4.304999999999993,2024-08-01
2024-11-01,4.2549999999999955,2024-08-01
2024-12-01,4.204999999999998,2024-08-01
2025-01-01,4.189999999999998,2024-08-01
2025-02-01,4.144999999999996,2024-08-01
2025-03-01,4.069999999999993,2024-08-01
2025-04-01,3.969999999999999,2024-08-01
2025-05-01,3.9200000000000017,2024-08-01
2025-06-01,3.8400000000000034,2024-08-01
2025-07-01,3.799999999999997,2024-08-01
2025-08-01,3.739999999999995,2024-08-01
2025-09-01,3.7049999999999983,2024-08-01
2025-10-01,3.6499999999999915,2024-08-01
2025-11-01,3.605000000000004,2024-08-01
2025-12-01,3.5649999999999977,2024-08-01
2026-01-01,3.549999999999997,2024-08-01
