date,cash_rate,scrape_date
2025-01-01,4.334999999999994,2025-01-13
2025-02-01,4.2749999999999915,2025-01-13
2025-03-01,4.164999999999992,2025-01-13
2025-04-01,4.084999999999994,2025-01-13
2025-05-01,4.034999999999997,2025-01-13
2025-06-01,3.950000000000003,2025-01-13
2025-07-01,3.9200000000000017,2025-01-13
2025-08-01,3.855000000000004,2025-01-13
2025-09-01,3.819999999999993,2025-01-13
2025-10-01,3.780000000000001,2025-01-13
2025-11-01,3.7549999999999955,2025-01-13
2025-12-01,3.730000000000004,2025-01-13
2026-01-01,3.719999999999999,2025-01-13
2026-02-01,3.7049999999999983,2025-01-13
2026-03-01,3.700000000000003,2025-01-13
2026-04-01,3.7049999999999983,2025-01-13
2026-05-01,3.7099999999999937,2025-01-13
2026-06-01,3.719999999999999,2025-01-13
