dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate
2025-12-29,2025-12-11,2025-12-10,96.405,96.4,0.0049999999999954525,0.005186721991696527,0,0,96.405,97.19,96.4,96.405,96.405,468,468,895208763,IBZ2025,2025-12-01,2025-12-10,2025-12-11T05:35:48Z,3.594999999999999
2026-01-28,2025-12-10,2025-12-10,96.405,96.4,0.005000000000009663,0.0051869910265155495,0,0,96.4,97.105,96.395,96.4,96.405,0,0,919010878,IBF2026,2026-01-01,2025-12-10,2025-12-11T05:35:48Z,3.5999999999999943
2026-02-25,2025-12-11,2025-12-10,96.355,96.35000000000001,1.4210854715202004e-14,1.4749200534719257e-14,0.025,0.026000000000000002,96.35000000000001,97.065,96.32000000000001,96.35000000000001,96.325,2897,2897,928464846,IBG2026,2026-02-01,2025-12-10,2025-12-11T05:35:48Z,3.6499999999999915
2026-03-29,2025-12-11,2025-12-10,96.35000000000001,96.33,-0.024999999999991473,-0.025944375259434903,0.03,0.031,96.33500000000001,97.105,96.29,96.33500000000001,96.305,163,663,935346173,IBH2026,2026-03-01,2025-12-10,2025-12-11T05:35:48Z,3.664999999999992
2026-04-28,2025-12-11,2025-12-10,96.33,96.32000000000001,-0.029999999999986926,-0.031136481577568167,0.045,0.047,96.32000000000001,96.925,96.255,96.32000000000001,96.275,63,563,941648808,IBJ2026,2026-04-01,2025-12-10,2025-12-11T05:35:48Z,3.6799999999999926
2026-05-27,2025-12-10,2025-12-10,96.275,96.25,-0.07999999999998408,-0.0830564784052991,0.05,0.052000000000000005,96.24000000000001,97.015,96.16,96.24000000000001,96.19,50,50,949242588,IBK2026,2026-05-01,2025-12-10,2025-12-11T05:35:48Z,3.759999999999991
2026-06-28,2025-12-09,2025-12-10,96.235,96.205,-0.04000000000000625,-0.04154117769239407,-0.01,-0.01,96.25,96.97500000000001,96.25,96.25,96.145,0,0,955528239,IBM2026,2026-06-01,2025-12-10,2025-12-11T05:35:48Z,3.855000000000004
2026-07-29,2025-12-09,2025-12-10,96.205,96.175,-0.20000000000000284,-0.20773824980524833,-0.04,-0.042,96.075,96.075,96.075,96.075,96.10000000000001,50,50,962344067,IBN2026,2026-07-01,2025-12-10,2025-12-11T05:35:48Z,3.8999999999999915
2026-08-29,2025-12-09,2025-12-10,96.14,96.11,-0.17499999999999716,-0.18183707398170945,-0.105,-0.109,96.065,96.15,96.065,96.065,96.03,0,0,969160575,IBQ2026,2026-08-01,2025-12-10,2025-12-11T05:35:48Z,3.969999999999999
2026-09-28,2025-12-09,2025-12-10,96.105,96.08,-0.19499999999999318,-0.20266056952815753,-0.11,-0.114,96.025,96.86500000000001,96.025,96.025,95.99000000000001,0,0,976225343,IBU2026,2026-09-01,2025-12-10,2025-12-11T05:35:48Z,4.009999999999991
2026-10-28,2025-12-09,2025-12-10,96.08,96.055,-0.07500000000000284,-0.0780112336176439,-0.05,-0.052000000000000005,96.065,96.86500000000001,96.065,96.065,95.94500000000001,0,0,983956682,IBV2026,2026-10-01,2025-12-10,2025-12-11T05:35:48Z,4.054999999999993
2026-11-28,2025-12-09,2025-12-10,96.035,96.005,-0.0899999999999892,-0.09363782968318078,-0.055,-0.057,96.025,96.86500000000001,96.025,96.025,95.9,0,0,990482019,IBX2026,2026-11-01,2025-12-10,2025-12-11T05:35:48Z,4.099999999999994
2026-12-29,2025-11-04,2025-12-10,96.015,95.985,0.42499999999999716,0.4420866489831977,0.005,0.005,96.56,96.86500000000001,96.56,96.56,95.88,0,0,996839036,IBZ2026,2026-12-01,2025-12-10,2025-12-11T05:35:48Z,4.1200000000000045
2027-01-27,NA,2025-12-10,96.01,95.98,NA,0,NA,NA,NA,NA,NA,NA,95.875,0,0,1004041830,IBF2027,2027-01-01,2025-12-10,2025-12-11T05:35:48Z,NA
2027-02-24,NA,2025-12-10,95.995,95.965,NA,0,NA,NA,NA,NA,NA,NA,95.855,0,0,1010033436,IBG2027,2027-02-01,2025-12-10,2025-12-11T05:35:48Z,NA
2027-03-29,NA,2025-12-10,95.985,95.955,NA,0,NA,NA,NA,NA,NA,NA,95.845,0,0,1016946091,IBH2027,2027-03-01,2025-12-10,2025-12-11T05:35:48Z,NA
2027-04-28,NA,2025-12-10,95.97500000000001,95.94500000000001,NA,0,NA,NA,NA,NA,NA,NA,95.83,0,0,1026315950,IBJ2027,2027-04-01,2025-12-10,2025-12-11T05:35:48Z,NA
2027-05-29,NA,2025-12-10,95.965,95.935,NA,0,NA,NA,NA,NA,NA,NA,95.82000000000001,0,0,1033478754,IBK2027,2027-05-01,2025-12-10,2025-12-11T05:35:48Z,NA
