date,cash_rate,scrape_date
2025-04-01,4.054999999999993,2025-04-07
2025-05-01,3.9200000000000017,2025-04-07
2025-06-01,3.6700000000000017,2025-04-07
2025-07-01,3.480000000000004,2025-04-07
2025-08-01,3.2549999999999955,2025-04-07
2025-09-01,3.155000000000001,2025-04-07
2025-10-01,3.019999999999996,2025-04-07
2025-11-01,2.9099999999999966,2025-04-07
2025-12-01,2.8799999999999955,2025-04-07
2026-01-01,2.8799999999999955,2025-04-07
2026-02-01,2.8599999999999994,2025-04-07
2026-03-01,2.855000000000004,2025-04-07
2026-04-01,2.8400000000000034,2025-04-07
2026-05-01,2.825000000000003,2025-04-07
2026-06-01,2.825000000000003,2025-04-07
2026-07-01,2.825000000000003,2025-04-07
2026-08-01,2.8299999999999983,2025-04-07
2026-09-01,2.8299999999999983,2025-04-07
