date,cash_rate,scrape_date
2022-06-01,0.695,2022-06-11
2022-07-01,1.17,2022-06-11
2022-08-01,1.655,2022-06-11
2022-09-01,2.005,2022-06-11
2022-10-01,2.395,2022-06-11
2022-11-01,2.815,2022-06-11
2022-12-01,3.05,2022-06-11
2023-01-01,3.105,2022-06-11
2023-02-01,3.335,2022-06-11
2023-03-01,3.485,2022-06-11
2023-04-01,3.615,2022-06-11
2023-05-01,3.705,2022-06-11
2023-06-01,3.715,2022-06-11
2023-07-01,3.715,2022-06-11
2023-08-01,3.71,2022-06-11
2023-09-01,3.71,2022-06-11
2023-10-01,3.71,2022-06-11
2023-11-01,3.67,2022-06-11
