date,cash_rate,scrape_date
2023-04-01,3.565,2023-04-17
2023-05-01,3.62,2023-04-17
2023-06-01,3.645,2023-04-17
2023-07-01,3.65,2023-04-17
2023-08-01,3.655,2023-04-17
2023-09-01,3.64,2023-04-17
2023-10-01,3.605,2023-04-17
2023-11-01,3.565,2023-04-17
2023-12-01,3.505,2023-04-17
2024-01-01,3.5,2023-04-17
2024-02-01,3.465,2023-04-17
2024-03-01,3.41,2023-04-17
2024-04-01,3.36,2023-04-17
2024-05-01,3.32,2023-04-17
2024-06-01,3.275,2023-04-17
2024-07-01,3.225,2023-04-17
2024-08-01,3.19,2023-04-17
2024-09-01,3.155,2023-04-17
