date,cash_rate,scrape_date
2023-09-01,4.069999999999993,2023-09-04
2023-10-01,4.090000000000003,2023-09-04
2023-11-01,4.134999999999991,2023-09-04
2023-12-01,4.1499999999999915,2023-09-04
2024-01-01,4.144999999999996,2023-09-04
2024-02-01,4.155000000000001,2023-09-04
2024-03-01,4.144999999999996,2023-09-04
2024-04-01,4.134999999999991,2023-09-04
2024-05-01,4.125,2023-09-04
2024-06-01,4.114999999999995,2023-09-04
2024-07-01,4.094999999999999,2023-09-04
2024-08-01,4.045000000000002,2023-09-04
2024-09-01,4.019999999999996,2023-09-04
2024-10-01,3.9749999999999943,2023-09-04
2024-11-01,3.924999999999997,2023-09-04
2024-12-01,3.875,2023-09-04
2025-01-01,3.855000000000004,2023-09-04
2025-02-01,3.8049999999999926,2023-09-04
