date,cash_rate,scrape_date
2023-06-01,4.015,2023-06-30
2023-07-01,4.16,2023-06-30
2023-08-01,4.31,2023-06-30
2023-09-01,4.39,2023-06-30
2023-10-01,4.44,2023-06-30
2023-11-01,4.48,2023-06-30
2023-12-01,4.5,2023-06-30
2024-01-01,4.495,2023-06-30
2024-02-01,4.495,2023-06-30
2024-03-01,4.47,2023-06-30
2024-04-01,4.435,2023-06-30
2024-05-01,4.405,2023-06-30
2024-06-01,4.34,2023-06-30
2024-07-01,4.29,2023-06-30
2024-08-01,4.255,2023-06-30
2024-09-01,4.195,2023-06-30
2024-10-01,4.15,2023-06-30
2024-11-01,4.09,2023-06-30
