date,cash_rate,scrape_date
2023-03-01,3.51,2023-04-02
2023-04-01,3.6,2023-04-02
2023-05-01,3.66,2023-04-02
2023-06-01,3.635,2023-04-02
2023-07-01,3.59,2023-04-02
2023-08-01,3.53,2023-04-02
2023-09-01,3.515,2023-04-02
2023-10-01,3.475,2023-04-02
2023-11-01,3.44,2023-04-02
2023-12-01,3.4,2023-04-02
2024-01-01,3.39,2023-04-02
2024-02-01,3.365,2023-04-02
2024-03-01,3.34,2023-04-02
2024-04-01,3.315,2023-04-02
2024-05-01,3.29,2023-04-02
2024-06-01,3.27,2023-04-02
2024-07-01,3.24,2023-04-02
2024-08-01,3.225,2023-04-02
