date,cash_rate,scrape_date
2022-10-01,2.525,2022-10-20
2022-11-01,2.82,2022-10-20
2022-12-01,3.025,2022-10-20
2023-01-01,3.07,2022-10-20
2023-02-01,3.23,2022-10-20
2023-03-01,3.44,2022-10-20
2023-04-01,3.66,2022-10-20
2023-05-01,3.84,2022-10-20
2023-06-01,3.905,2022-10-20
2023-07-01,3.975,2022-10-20
2023-08-01,4.02,2022-10-20
2023-09-01,4.045,2022-10-20
2023-10-01,4.07,2022-10-20
2023-11-01,4.075,2022-10-20
2023-12-01,4.065,2022-10-20
2024-01-01,4.065,2022-10-20
2024-02-01,4.05,2022-10-20
2024-03-01,4.02,2022-10-20
