date,cash_rate,scrape_date
2023-04-01,3.565,2023-04-24
2023-05-01,3.645,2023-04-24
2023-06-01,3.695,2023-04-24
2023-07-01,3.74,2023-04-24
2023-08-01,3.785,2023-04-24
2023-09-01,3.785,2023-04-24
2023-10-01,3.76,2023-04-24
2023-11-01,3.74,2023-04-24
2023-12-01,3.695,2023-04-24
2024-01-01,3.685,2023-04-24
2024-02-01,3.66,2023-04-24
2024-03-01,3.62,2023-04-24
2024-04-01,3.57,2023-04-24
2024-05-01,3.53,2023-04-24
2024-06-01,3.49,2023-04-24
2024-07-01,3.455,2023-04-24
2024-08-01,3.43,2023-04-24
2024-09-01,3.395,2023-04-24
