date,cash_rate,scrape_date
2023-06-01,4.015,2023-06-27
2023-07-01,4.145,2023-06-27
2023-08-01,4.3,2023-06-27
2023-09-01,4.39,2023-06-27
2023-10-01,4.47,2023-06-27
2023-11-01,4.53,2023-06-27
2023-12-01,4.54,2023-06-27
2024-01-01,4.54,2023-06-27
2024-02-01,4.53,2023-06-27
2024-03-01,4.51,2023-06-27
2024-04-01,4.475,2023-06-27
2024-05-01,4.44,2023-06-27
2024-06-01,4.375,2023-06-27
2024-07-01,4.325,2023-06-27
2024-08-01,4.29,2023-06-27
2024-09-01,4.23,2023-06-27
2024-10-01,4.185,2023-06-27
2024-11-01,4.125,2023-06-27
