date,cash_rate,scrape_date
2022-11-01,2.795,2022-11-06
2022-12-01,2.99,2022-11-06
2023-01-01,3.035,2022-11-06
2023-02-01,3.215,2022-11-06
2023-03-01,3.425,2022-11-06
2023-04-01,3.615,2022-11-06
2023-05-01,3.77,2022-11-06
2023-06-01,3.845,2022-11-06
2023-07-01,3.915,2022-11-06
2023-08-01,3.96,2022-11-06
2023-09-01,3.99,2022-11-06
2023-10-01,3.995,2022-11-06
2023-11-01,3.995,2022-11-06
2023-12-01,3.99,2022-11-06
2024-01-01,3.99,2022-11-06
2024-02-01,3.995,2022-11-06
2024-03-01,3.985,2022-11-06
2024-04-01,3.96,2022-11-06
