dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate
2025-12-29,2025-12-02,2025-12-02,96.405,96.4,-0.0049999999999954525,-0.005186452984798975,-0.01,-0.01,96.4,97.19,96.405,96.4,96.41,3003,3003,895208763,IBZ2025,2025-12-01,2025-12-02,2025-12-02T23:34:18Z,3.5999999999999943
2026-01-28,2025-12-01,2025-12-02,96.405,96.4,-0.010000000000005116,-0.010371830109428113,-0.005,-0.005,96.405,97.105,96.405,96.405,96.41,0,0,919010878,IBF2026,2026-01-01,2025-12-02,2025-12-02T23:34:18Z,3.5900000000000034
2026-02-25,2025-12-02,2025-12-02,96.415,96.405,0,0,0,0,96.41,97.065,96.41,96.41,96.41,445,445,928464846,IBG2026,2026-02-01,2025-12-02,2025-12-02T23:34:18Z,3.5900000000000034
2026-03-29,2025-12-02,2025-12-02,96.415,96.405,-0.005000000000009663,-0.005185915054721426,-0.01,-0.01,96.41,97.105,96.405,96.41,96.41,610,685,935346173,IBH2026,2026-03-01,2025-12-02,2025-12-02T23:34:18Z,3.5900000000000034
2026-04-28,2025-12-02,2025-12-02,96.415,96.4,-0.005000000000009663,-0.005185915054721426,0.005,0.005,96.41,96.925,96.4,96.41,96.405,25,25,941648808,IBJ2026,2026-04-01,2025-12-02,2025-12-02T23:34:18Z,3.5900000000000034
2026-05-27,2025-11-26,2025-12-02,96.385,96.36,0,0,-0.105,-0.109,96.41,97.015,96.41,96.41,96.38,0,0,949242588,IBK2026,2026-05-01,2025-12-02,2025-12-02T23:34:18Z,3.6200000000000045
2026-06-28,2025-12-02,2025-12-02,96.35000000000001,96.33500000000001,-0.045000000000001705,-0.046678076863235,0,0,96.36,96.97500000000001,96.375,96.36,96.36,50,50,955528239,IBM2026,2026-06-01,2025-12-02,2025-12-02T23:34:18Z,3.6400000000000006
2026-07-29,NA,2025-12-02,96.345,96.315,NA,0,NA,NA,NA,NA,NA,NA,96.355,0,0,962344067,IBN2026,2026-07-01,2025-12-02,2025-12-02T23:34:18Z,NA
2026-08-29,NA,2025-12-02,96.32000000000001,96.29,NA,0,NA,NA,NA,NA,NA,NA,96.33,0,0,969160575,IBQ2026,2026-08-01,2025-12-02,2025-12-02T23:34:18Z,NA
2026-09-28,2025-11-26,2025-12-02,96.3,96.27,0,0,-0.12,-0.124,96.39,96.86500000000001,96.39,96.39,96.315,0,0,976225343,IBU2026,2026-09-01,2025-12-02,2025-12-02T23:34:18Z,3.6850000000000023
2026-10-28,2025-11-26,2025-12-02,96.265,96.235,0,0,-0.14,-0.145,96.36,96.86500000000001,96.36,96.36,96.3,0,0,983956682,IBV2026,2026-10-01,2025-12-02,2025-12-02T23:34:18Z,3.700000000000003
2026-11-28,2025-11-04,2025-12-02,96.23,96.2,0.25499999999999545,0.2647287827666706,-0.03,-0.031,96.58,96.86500000000001,96.58,96.58,96.27,0,0,990482019,IBX2026,2026-11-01,2025-12-02,2025-12-02T23:34:18Z,3.730000000000004
2026-12-29,2025-11-04,2025-12-02,96.21000000000001,96.18,0.24500000000000455,0.254373669729538,0.005,0.005,96.56,96.86500000000001,96.56,96.56,96.255,0,0,996839036,IBZ2026,2026-12-01,2025-12-02,2025-12-02T23:34:18Z,3.7450000000000045
2027-01-27,NA,2025-12-02,96.205,96.175,NA,0,NA,NA,NA,NA,NA,NA,96.25,0,0,1004041830,IBF2027,2027-01-01,2025-12-02,2025-12-02T23:34:18Z,NA
2027-02-24,NA,2025-12-02,96.19,96.16,NA,0,NA,NA,NA,NA,NA,NA,96.235,0,0,1010033436,IBG2027,2027-02-01,2025-12-02,2025-12-02T23:34:18Z,NA
2027-03-29,NA,2025-12-02,96.18,96.15,NA,0,NA,NA,NA,NA,NA,NA,96.22,0,0,1016946091,IBH2027,2027-03-01,2025-12-02,2025-12-02T23:34:18Z,NA
2027-04-28,NA,2025-12-02,96.165,96.135,NA,0,NA,NA,NA,NA,NA,NA,96.21000000000001,0,0,1026315950,IBJ2027,2027-04-01,2025-12-02,2025-12-02T23:34:18Z,NA
2027-05-29,NA,2025-12-02,96.15,96.12,NA,0,NA,NA,NA,NA,NA,NA,96.19,0,0,1033478754,IBK2027,2027-05-01,2025-12-02,2025-12-02T23:34:18Z,NA
