date,cash_rate,scrape_date
2022-09-01,2.205,2022-09-07
2022-10-01,2.61,2022-09-07
2022-11-01,2.975,2022-09-07
2022-12-01,3.205,2022-09-07
2023-01-01,3.255,2022-09-07
2023-02-01,3.43,2022-09-07
2023-03-01,3.57,2022-09-07
2023-04-01,3.66,2022-09-07
2023-05-01,3.72,2022-09-07
2023-06-01,3.75,2022-09-07
2023-07-01,3.775,2022-09-07
2023-08-01,3.775,2022-09-07
2023-09-01,3.75,2022-09-07
2023-10-01,3.72,2022-09-07
2023-11-01,3.695,2022-09-07
2023-12-01,3.655,2022-09-07
2024-01-01,3.65,2022-09-07
2024-02-01,3.63,2022-09-07
