date,cash_rate,scrape_date
2022-11-01,2.8,2022-11-23
2022-12-01,2.98,2022-11-23
2023-01-01,3.02,2022-11-23
2023-02-01,3.175,2022-11-23
2023-03-01,3.325,2022-11-23
2023-04-01,3.445,2022-11-23
2023-05-01,3.555,2022-11-23
2023-06-01,3.605,2022-11-23
2023-07-01,3.685,2022-11-23
2023-08-01,3.74,2022-11-23
2023-09-01,3.78,2022-11-23
2023-10-01,3.8,2022-11-23
2023-11-01,3.8,2022-11-23
2023-12-01,3.795,2022-11-23
2024-01-01,3.795,2022-11-23
2024-02-01,3.78,2022-11-23
2024-03-01,3.76,2022-11-23
2024-04-01,3.73,2022-11-23
