dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate
2025-12-29,2025-12-05,2025-12-05,96.405,96.4,0,0,0,0,96.405,97.19,96.4,96.405,96.405,4750,4750,895208763,IBZ2025,2025-12-01,2025-12-05,2025-12-05T06:42:14Z,3.594999999999999
2026-01-28,2025-12-05,2025-12-05,96.405,96.4,-0.0049999999999954525,-0.005186452984798975,0,0,96.4,97.105,96.395,96.4,96.405,187,187,919010878,IBF2026,2026-01-01,2025-12-05,2025-12-05T06:42:14Z,3.5999999999999943
2026-02-25,2025-12-05,2025-12-05,96.38,96.15,-0.04000000000000625,-0.04148732043769771,0.025,0.026000000000000002,96.375,97.065,96.345,96.375,96.375,704,704,928464846,IBG2026,2026-02-01,2025-12-05,2025-12-05T06:42:14Z,3.625
2026-03-29,2025-12-05,2025-12-05,96.98,NA,-0.05499999999999261,-0.05704210744658018,0.01,0.01,96.36500000000001,97.105,96.34,96.36500000000001,96.36500000000001,80,80,935346173,IBH2026,2026-03-01,2025-12-05,2025-12-05T06:42:14Z,3.634999999999991
2026-04-28,2025-12-03,2025-12-05,NA,96.295,-0.015000000000000568,-0.015556938394524548,0,0,96.405,96.925,96.4,96.405,96.36,0,0,941648808,IBJ2026,2026-04-01,2025-12-05,2025-12-05T06:42:14Z,3.6400000000000006
2026-05-27,2025-12-03,2025-12-05,NA,NA,-0.010000000000005116,-0.010372905969612692,0.015,0.016,96.395,97.015,96.395,96.395,96.31,0,0,949242588,IBK2026,2026-05-01,2025-12-05,2025-12-05T06:42:14Z,3.6899999999999977
2026-06-28,2025-12-04,2025-12-05,NA,NA,-0.10500000000000398,-0.10893246187364247,-0.005,-0.005,96.285,96.97500000000001,96.285,96.285,96.27,10,10,955528239,IBM2026,2026-06-01,2025-12-05,2025-12-05T06:42:14Z,3.730000000000004
2026-07-29,NA,2025-12-05,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96.235,0,0,962344067,IBN2026,2026-07-01,2025-12-05,2025-12-05T06:42:14Z,NA
2026-08-29,NA,2025-12-05,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96.19,0,0,969160575,IBQ2026,2026-08-01,2025-12-05,2025-12-05T06:42:14Z,NA
2026-09-28,2025-11-26,2025-12-05,NA,NA,0.03499999999999659,0.036324010170719304,-0.12,-0.124,96.39,96.86500000000001,96.39,96.39,96.16,0,0,976225343,IBU2026,2026-09-01,2025-12-05,2025-12-05T06:42:14Z,3.8400000000000034
2026-10-28,2025-12-04,2025-12-05,NA,NA,-0.2049999999999983,-0.21277699932533944,-0.1,-0.10400000000000001,96.14,96.86500000000001,96.14,96.14,96.135,0,0,983956682,IBV2026,2026-10-01,2025-12-05,2025-12-05T06:42:14Z,3.864999999999995
2026-11-28,2025-12-04,2025-12-05,NA,NA,-0.20999999999999375,-0.21801193874902022,-0.095,-0.099,96.11500000000001,96.86500000000001,96.11500000000001,96.11500000000001,96.105,0,0,990482019,IBX2026,2026-11-01,2025-12-05,2025-12-05T06:42:14Z,3.894999999999996
2026-12-29,2025-11-04,2025-12-05,NA,NA,0.25,0.2595784446059599,0.005,0.005,96.56,96.86500000000001,96.56,96.56,96.095,0,0,996839036,IBZ2026,2026-12-01,2025-12-05,2025-12-05T06:42:14Z,3.905000000000001
2027-01-27,NA,2025-12-05,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96.095,0,0,1004041830,IBF2027,2027-01-01,2025-12-05,2025-12-05T06:42:14Z,NA
2027-02-24,NA,2025-12-05,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96.08500000000001,0,0,1010033436,IBG2027,2027-02-01,2025-12-05,2025-12-05T06:42:14Z,NA
2027-03-29,NA,2025-12-05,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96.08,0,0,1016946091,IBH2027,2027-03-01,2025-12-05,2025-12-05T06:42:14Z,NA
2027-04-28,NA,2025-12-05,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96.075,0,0,1026315950,IBJ2027,2027-04-01,2025-12-05,2025-12-05T06:42:14Z,NA
2027-05-29,NA,2025-12-05,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96.065,0,0,1033478754,IBK2027,2027-05-01,2025-12-05,2025-12-05T06:42:14Z,NA
