date,cash_rate,scrape_date
2025-08-01,3.6850000000000023,2025-08-07
2025-09-01,3.5849999999999937,2025-08-07
2025-10-01,3.5,2025-08-07
2025-11-01,3.3349999999999937,2025-08-07
2025-12-01,3.239999999999995,2025-08-07
2026-01-01,3.2099999999999937,2025-08-07
2026-02-01,3.0900000000000034,2025-08-07
2026-03-01,3.0799999999999983,2025-08-07
2026-04-01,3.069999999999993,2025-08-07
2026-05-01,3.0349999999999966,2025-08-07
2026-06-01,3.030000000000001,2025-08-07
2026-07-01,3.019999999999996,2025-08-07
2026-08-01,3.0150000000000006,2025-08-07
2026-09-01,3.0150000000000006,2025-08-07
2026-10-01,3.0150000000000006,2025-08-07
2026-11-01,3.019999999999996,2025-08-07
2026-12-01,3.0249999999999915,2025-08-07
2027-01-01,3.0249999999999915,2025-08-07
