date,cash_rate,scrape_date
2023-05-01,3.8,2023-05-30
2023-06-01,3.855,2023-05-30
2023-07-01,3.93,2023-05-30
2023-08-01,4.01,2023-05-30
2023-09-01,4.02,2023-05-30
2023-10-01,4.01,2023-05-30
2023-11-01,4,2023-05-30
2023-12-01,3.965,2023-05-30
2024-01-01,3.96,2023-05-30
2024-02-01,3.935,2023-05-30
2024-03-01,3.895,2023-05-30
2024-04-01,3.855,2023-05-30
2024-05-01,3.82,2023-05-30
2024-06-01,3.75,2023-05-30
2024-07-01,3.725,2023-05-30
2024-08-01,3.705,2023-05-30
2024-09-01,3.65,2023-05-30
2024-10-01,3.57,2023-05-30
