date,cash_rate,scrape_date
2023-04-01,3.565,2023-04-18
2023-05-01,3.62,2023-04-18
2023-06-01,3.645,2023-04-18
2023-07-01,3.675,2023-04-18
2023-08-01,3.67,2023-04-18
2023-09-01,3.665,2023-04-18
2023-10-01,3.625,2023-04-18
2023-11-01,3.59,2023-04-18
2023-12-01,3.54,2023-04-18
2024-01-01,3.53,2023-04-18
2024-02-01,3.505,2023-04-18
2024-03-01,3.46,2023-04-18
2024-04-01,3.41,2023-04-18
2024-05-01,3.37,2023-04-18
2024-06-01,3.325,2023-04-18
2024-07-01,3.275,2023-04-18
2024-08-01,3.24,2023-04-18
2024-09-01,3.205,2023-04-18
