date,cash_rate,scrape_date
2024-05-01,4.334999999999994,2024-05-06
2024-06-01,4.349999999999994,2024-05-06
2024-07-01,4.375,2024-05-06
2024-08-01,4.409999999999997,2024-05-06
2024-09-01,4.424999999999997,2024-05-06
2024-10-01,4.435000000000002,2024-05-06
2024-11-01,4.420000000000002,2024-05-06
2024-12-01,4.394999999999996,2024-05-06
2025-01-01,4.390000000000001,2024-05-06
2025-02-01,4.325000000000003,2024-05-06
2025-03-01,4.295000000000002,2024-05-06
2025-04-01,4.265000000000001,2024-05-06
2025-05-01,4.219999999999999,2024-05-06
2025-06-01,4.185000000000002,2024-05-06
2025-07-01,4.1499999999999915,2024-05-06
2025-08-01,4.105000000000004,2024-05-06
2025-09-01,4.069999999999993,2024-05-06
2025-10-01,4.045000000000002,2024-05-06
