date,cash_rate,scrape_date
2023-02-01,3.255,2023-02-22
2023-03-01,3.5,2023-02-22
2023-04-01,3.725,2023-02-22
2023-05-01,3.925,2023-02-22
2023-06-01,4.04,2023-02-22
2023-07-01,4.135,2023-02-22
2023-08-01,4.23,2023-02-22
2023-09-01,4.25,2023-02-22
2023-10-01,4.265,2023-02-22
2023-11-01,4.26,2023-02-22
2023-12-01,4.23,2023-02-22
2024-01-01,4.22,2023-02-22
2024-02-01,4.2,2023-02-22
2024-03-01,4.15,2023-02-22
2024-04-01,4.09,2023-02-22
2024-05-01,4.05,2023-02-22
2024-06-01,3.99,2023-02-22
2024-07-01,3.935,2023-02-22
