date,cash_rate,scrape_date
2024-04-01,4.314999999999998,2024-04-05
2024-05-01,4.299999999999997,2024-04-05
2024-06-01,4.284999999999997,2024-04-05
2024-07-01,4.2749999999999915,2024-04-05
2024-08-01,4.209999999999994,2024-04-05
2024-09-01,4.185000000000002,2024-04-05
2024-10-01,4.1299999999999955,2024-04-05
2024-11-01,4.054999999999993,2024-04-05
2024-12-01,3.9950000000000045,2024-04-05
2025-01-01,3.969999999999999,2024-04-05
2025-02-01,3.905000000000001,2024-04-05
2025-03-01,3.864999999999995,2024-04-05
2025-04-01,3.825000000000003,2024-04-05
2025-05-01,3.7749999999999915,2024-04-05
2025-06-01,3.739999999999995,2024-04-05
2025-07-01,3.7099999999999937,2024-04-05
2025-08-01,3.6799999999999926,2024-04-05
2025-09-01,3.655000000000001,2024-04-05
