date,cash_rate,scrape_date
2024-02-01,4.314999999999998,2024-02-21
2024-03-01,4.304999999999993,2024-02-21
2024-04-01,4.295000000000002,2024-02-21
2024-05-01,4.265000000000001,2024-02-21
2024-06-01,4.234999999999999,2024-02-21
2024-07-01,4.189999999999998,2024-02-21
2024-08-01,4.125,2024-02-21
2024-09-01,4.099999999999994,2024-02-21
2024-10-01,4.049999999999997,2024-02-21
2024-11-01,3.969999999999999,2024-02-21
2024-12-01,3.9200000000000017,2024-02-21
2025-01-01,3.8999999999999915,2024-02-21
2025-02-01,3.8499999999999943,2024-02-21
2025-03-01,3.8149999999999977,2024-02-21
2025-04-01,3.7849999999999966,2024-02-21
2025-05-01,3.7549999999999955,2024-02-21
2025-06-01,3.7249999999999943,2024-02-21
2025-07-01,3.7049999999999983,2024-02-21
