date,cash_rate,scrape_date
2022-06-01,0.685,2022-06-09
2022-07-01,1.145,2022-06-09
2022-08-01,1.63,2022-06-09
2022-09-01,1.975,2022-06-09
2022-10-01,2.38,2022-06-09
2022-11-01,2.83,2022-06-09
2022-12-01,3.04,2022-06-09
2023-01-01,3.105,2022-06-09
2023-02-01,3.35,2022-06-09
2023-03-01,3.52,2022-06-09
2023-04-01,3.675,2022-06-09
2023-05-01,3.78,2022-06-09
2023-06-01,3.79,2022-06-09
2023-07-01,3.795,2022-06-09
2023-08-01,3.79,2022-06-09
2023-09-01,3.79,2022-06-09
2023-10-01,3.79,2022-06-09
2023-11-01,3.76,2022-06-09
