date,cash_rate,scrape_date
2023-04-01,3.565,2023-04-21
2023-05-01,3.65,2023-04-21
2023-06-01,3.71,2023-04-21
2023-07-01,3.76,2023-04-21
2023-08-01,3.81,2023-04-21
2023-09-01,3.815,2023-04-21
2023-10-01,3.78,2023-04-21
2023-11-01,3.765,2023-04-21
2023-12-01,3.725,2023-04-21
2024-01-01,3.72,2023-04-21
2024-02-01,3.7,2023-04-21
2024-03-01,3.67,2023-04-21
2024-04-01,3.62,2023-04-21
2024-05-01,3.58,2023-04-21
2024-06-01,3.54,2023-04-21
2024-07-01,3.505,2023-04-21
2024-08-01,3.48,2023-04-21
2024-09-01,3.445,2023-04-21
