date,cash_rate,scrape_date
2023-04-01,3.565,2023-04-30
2023-05-01,3.59,2023-04-30
2023-06-01,3.62,2023-04-30
2023-07-01,3.64,2023-04-30
2023-08-01,3.675,2023-04-30
2023-09-01,3.68,2023-04-30
2023-10-01,3.64,2023-04-30
2023-11-01,3.605,2023-04-30
2023-12-01,3.555,2023-04-30
2024-01-01,3.55,2023-04-30
2024-02-01,3.515,2023-04-30
2024-03-01,3.47,2023-04-30
2024-04-01,3.42,2023-04-30
2024-05-01,3.38,2023-04-30
2024-06-01,3.34,2023-04-30
2024-07-01,3.305,2023-04-30
2024-08-01,3.28,2023-04-30
2024-09-01,3.245,2023-04-30
