date,cash_rate,scrape_date
2022-11-01,2.795,2022-11-10
2022-12-01,2.99,2022-11-10
2023-01-01,3.035,2022-11-10
2023-02-01,3.215,2022-11-10
2023-03-01,3.43,2022-11-10
2023-04-01,3.61,2022-11-10
2023-05-01,3.775,2022-11-10
2023-06-01,3.85,2022-11-10
2023-07-01,3.92,2022-11-10
2023-08-01,3.975,2022-11-10
2023-09-01,4,2022-11-10
2023-10-01,4.015,2022-11-10
2023-11-01,4.015,2022-11-10
2023-12-01,4.01,2022-11-10
2024-01-01,4.01,2022-11-10
2024-02-01,4.015,2022-11-10
2024-03-01,4,2022-11-10
2024-04-01,3.975,2022-11-10
