date,cash_rate,scrape_date
2025-07-01,3.8349999999999937,2025-07-10
2025-08-01,3.694999999999993,2025-07-10
2025-09-01,3.605000000000004,2025-07-10
2025-10-01,3.519999999999996,2025-07-10
2025-11-01,3.355000000000004,2025-07-10
2025-12-01,3.259999999999991,2025-07-10
2026-01-01,3.230000000000004,2025-07-10
2026-02-01,3.105000000000004,2025-07-10
2026-03-01,3.0900000000000034,2025-07-10
2026-04-01,3.0799999999999983,2025-07-10
2026-05-01,3.0549999999999926,2025-07-10
2026-06-01,3.0450000000000017,2025-07-10
2026-07-01,3.039999999999992,2025-07-10
2026-08-01,3.039999999999992,2025-07-10
2026-09-01,3.0450000000000017,2025-07-10
2026-10-01,3.0549999999999926,2025-07-10
2026-11-01,3.0649999999999977,2025-07-10
2026-12-01,3.075000000000003,2025-07-10
