date,cash_rate,scrape_date
2023-09-01,4.064999999999998,2023-09-08
2023-10-01,4.084999999999994,2023-09-08
2023-11-01,4.125,2023-09-08
2023-12-01,4.144999999999996,2023-09-08
2024-01-01,4.144999999999996,2023-09-08
2024-02-01,4.159999999999997,2023-09-08
2024-03-01,4.159999999999997,2023-09-08
2024-04-01,4.1499999999999915,2023-09-08
2024-05-01,4.1299999999999955,2023-09-08
2024-06-01,4.114999999999995,2023-09-08
2024-07-01,4.099999999999994,2023-09-08
2024-08-01,4.064999999999998,2023-09-08
2024-09-01,4.049999999999997,2023-09-08
2024-10-01,4.015000000000001,2023-09-08
2024-11-01,3.9749999999999943,2023-09-08
2024-12-01,3.9299999999999926,2023-09-08
2025-01-01,3.914999999999992,2023-09-08
2025-02-01,3.875,2023-09-08
