date,cash_rate,scrape_date
2025-06-01,3.8349999999999937,2025-06-27
2025-07-01,3.6599999999999966,2025-06-27
2025-08-01,3.469999999999999,2025-06-27
2025-09-01,3.384999999999991,2025-06-27
2025-10-01,3.280000000000001,2025-06-27
2025-11-01,3.1299999999999955,2025-06-27
2025-12-01,3.049999999999997,2025-06-27
2026-01-01,3.019999999999996,2025-06-27
2026-02-01,2.9399999999999977,2025-06-27
2026-03-01,2.914999999999992,2025-06-27
2026-04-01,2.894999999999996,2025-06-27
2026-05-01,2.875,2025-06-27
2026-06-01,2.864999999999995,2025-06-27
2026-07-01,2.8599999999999994,2025-06-27
2026-08-01,2.8599999999999994,2025-06-27
2026-09-01,2.864999999999995,2025-06-27
2026-10-01,2.875,2025-06-27
2026-11-01,2.8900000000000006,2025-06-27
