date,cash_rate,scrape_date
2024-03-01,4.314999999999998,2024-03-21
2024-04-01,4.314999999999998,2024-03-21
2024-05-01,4.295000000000002,2024-03-21
2024-06-01,4.2749999999999915,2024-03-21
2024-07-01,4.2450000000000045,2024-03-21
2024-08-01,4.170000000000002,2024-03-21
2024-09-01,4.134999999999991,2024-03-21
2024-10-01,4.084999999999994,2024-03-21
2024-11-01,4.0049999999999955,2024-03-21
2024-12-01,3.950000000000003,2024-03-21
2025-01-01,3.9350000000000023,2024-03-21
2025-02-01,3.864999999999995,2024-03-21
2025-03-01,3.8349999999999937,2024-03-21
2025-04-01,3.7950000000000017,2024-03-21
2025-05-01,3.75,2024-03-21
2025-06-01,3.719999999999999,2024-03-21
2025-07-01,3.694999999999993,2024-03-21
2025-08-01,3.664999999999992,2024-03-21
