date,cash_rate,scrape_date
2024-12-01,4.334999999999994,2024-12-16
2025-01-01,4.329999999999998,2024-12-16
2025-02-01,4.284999999999997,2024-12-16
2025-03-01,4.200000000000003,2024-12-16
2025-04-01,4.099999999999994,2024-12-16
2025-05-01,4.0249999999999915,2024-12-16
2025-06-01,3.905000000000001,2024-12-16
2025-07-01,3.844999999999999,2024-12-16
2025-08-01,3.7549999999999955,2024-12-16
2025-09-01,3.7099999999999937,2024-12-16
2025-10-01,3.694999999999993,2024-12-16
2025-11-01,3.644999999999996,2024-12-16
2025-12-01,3.605000000000004,2024-12-16
2026-01-01,3.5900000000000034,2024-12-16
2026-02-01,3.5600000000000023,2024-12-16
2026-03-01,3.549999999999997,2024-12-16
2026-04-01,3.539999999999992,2024-12-16
2026-05-01,3.530000000000001,2024-12-16
