dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate,cash_rate_PreviousSettlement
2026-02-25,2026-02-02,2026-02-02,96.24000000000001,96.235,-0.03499999999999659,-0.03635608185311789,-0.005,-0.005,96.235,97.065,96.22,96.235,96.24000000000001,3738,3738,928464846,IBG2026,2026-02-01,2026-02-02,2026-02-02T23:32:45Z,3.7650000000000006,3.759999999999991
2026-03-29,2026-02-02,2026-02-02,96.21000000000001,96.19500000000001,-0.03999999999999204,-0.04156491920818002,-0.005,-0.005,96.19500000000001,97.105,96.18,96.19500000000001,96.2,662,662,935346173,IBH2026,2026-03-01,2026-02-02,2026-02-02T23:32:45Z,3.8049999999999926,3.799999999999997
2026-04-28,2026-02-02,2026-02-02,96.2,96.175,-0.03499999999999659,-0.03637686431429256,0,0,96.18,96.925,96.175,96.18,96.18,108,108,941648808,IBJ2026,2026-04-01,2026-02-02,2026-02-02T23:32:45Z,3.819999999999993,3.819999999999993
2026-05-27,2026-02-02,2026-02-02,96.08500000000001,96.06,-0.045000000000001705,-0.04683109584764461,-0.015,-0.016,96.045,97.015,96.045,96.045,96.06,3,3,949242588,IBK2026,2026-05-01,2026-02-02,2026-02-02T23:32:45Z,3.9549999999999983,3.9399999999999977
2026-06-28,2025-12-19,2026-02-02,96.04,96.015,0.15000000000000568,0.15620118712902809,-0.02,-0.021,96.18,96.97500000000001,96.18,96.18,96.025,0,0,955528239,IBM2026,2026-06-01,2026-02-02,2026-02-02T23:32:45Z,3.9749999999999943,3.9749999999999943
2026-07-29,2025-12-09,2026-02-02,96.015,95.99000000000001,0.06499999999999773,0.06770128111654798,-0.04,-0.042,96.075,96.075,96.075,96.075,96.01,0,0,962344067,IBN2026,2026-07-01,2026-02-02,2026-02-02T23:32:45Z,3.989999999999995,3.989999999999995
2026-08-29,2025-12-09,2026-02-02,95.955,95.925,0.12000000000000455,0.12507165563604622,-0.105,-0.109,96.065,96.15,96.065,96.065,95.95,0,0,969160575,IBQ2026,2026-08-01,2026-02-02,2026-02-02T23:32:45Z,4.049999999999997,4.049999999999997
2026-09-28,2026-01-12,2026-02-02,95.92,95.89,0.2150000000000034,0.22416849129392494,0.02,0.021,96.125,96.86500000000001,96.11500000000001,96.125,95.915,0,0,976225343,IBU2026,2026-09-01,2026-02-02,2026-02-02T23:32:45Z,4.084999999999994,4.084999999999994
2026-10-28,2025-12-16,2026-02-02,95.895,95.86500000000001,0.20000000000000284,0.2085940759282466,-0.035,-0.036000000000000004,96.08,96.86500000000001,96.08,96.08,95.9,0,0,983956682,IBV2026,2026-10-01,2026-02-02,2026-02-02T23:32:45Z,4.099999999999994,4.099999999999994
2026-11-28,2025-12-09,2026-02-02,95.86500000000001,95.83500000000001,0.18500000000000227,0.19303005008347482,-0.055,-0.057,96.025,96.86500000000001,96.025,96.025,95.86500000000001,0,0,990482019,IBX2026,2026-11-01,2026-02-02,2026-02-02T23:32:45Z,4.134999999999991,4.134999999999991
2026-12-29,2026-01-28,2026-02-02,95.86,95.83,0.025000000000005684,0.026087863925707697,0.025,0.026000000000000002,95.855,96.86500000000001,95.855,95.855,95.86,0,0,996839036,IBZ2026,2026-12-01,2026-02-02,2026-02-02T23:32:45Z,4.140000000000001,4.140000000000001
2027-01-27,NA,2026-02-02,95.855,95.825,NA,0,NA,NA,NA,NA,NA,NA,95.855,0,0,1004041830,IBF2027,2027-01-01,2026-02-02,2026-02-02T23:32:45Z,NA,4.144999999999996
2027-02-24,NA,2026-02-02,95.855,95.825,NA,0,NA,NA,NA,NA,NA,NA,95.855,0,0,1010033436,IBG2027,2027-02-01,2026-02-02,2026-02-02T23:32:45Z,NA,4.144999999999996
2027-03-29,NA,2026-02-02,95.855,95.825,NA,0,NA,NA,NA,NA,NA,NA,95.85000000000001,0,0,1016946091,IBH2027,2027-03-01,2026-02-02,2026-02-02T23:32:45Z,NA,4.1499999999999915
2027-04-28,NA,2026-02-02,95.85000000000001,95.82000000000001,NA,0,NA,NA,NA,NA,NA,NA,95.85000000000001,0,0,1026315950,IBJ2027,2027-04-01,2026-02-02,2026-02-02T23:32:45Z,NA,4.1499999999999915
2027-05-29,NA,2026-02-02,95.85000000000001,95.82000000000001,NA,0,NA,NA,NA,NA,NA,NA,95.85000000000001,0,0,1033478754,IBK2027,2027-05-01,2026-02-02,2026-02-02T23:32:45Z,NA,4.1499999999999915
2027-06-28,NA,2026-02-02,95.85000000000001,95.82000000000001,NA,0,NA,NA,NA,NA,NA,NA,95.845,0,0,1041047069,IBM2027,2027-06-01,2026-02-02,2026-02-02T23:32:45Z,NA,4.155000000000001
2027-07-28,NA,2026-02-02,95.845,95.815,NA,0,NA,NA,NA,NA,NA,NA,95.845,0,0,1048381155,IBN2027,2027-07-01,2026-02-02,2026-02-02T23:32:45Z,NA,4.155000000000001
